광역,지역명,구분,사업명,온실가스감축량_합계_톤,예산_합계_백만원
강원,삼척시,건물,녹색건축물 조성 보조금 지원사업 추진(그린리모델링),150.0,15000.0
경기,과천시,건물,민간건축물 그린 리모델링 지원(주택 패시브 리모델링 지원사업),95.0,250.0
경기,동두천시,건물,도시재생뉴딜 연계 그린리모델링 활성화,185.0,84.0
경기,하남시,건물,노후건축물 그린 리모델링 사업,2636.0,1200.0
경기,화성시,건물,민간건축물 그린리모델링 지원,1658.0,2198.0
경남,거제시,건물,그린리모델링 활성화,138.0,13207.0
경남,밀양시,건물,주택 그린리모델링 지원사업,2257.0,45.0
경남,창녕군,건물,보건지소 그린리모델링사업,48.0,1700.0
경북,성주군,건물,그린리모델링(공동주택) 지원사업,143.0,5190.0
경북,칠곡군,건물,빈집대상 그린리모델링 추진,197.0,1750.0
광주,동구,건물,민간 부문 그린 리모델링,99.0,2000.0
광주,북구,건물,노후 영구임대주택 그린리모델링,9743.0,6.0
대구,수성구,건물,그린리모델링(그린홈 주택지원사업),26082.0,7245.0
대구,중구,건물,그린리모델링 지원,2088.0,7400.0
부산,사하구,건물,그린리모델링,1.0,343.0
서울,서대문구,건물,그린리모델링 조성 면적(자체),16.0,3200.0
인천,동구,건물,그린 리모델링,439.0,4000.0
인천,중구,건물,노후건물 그린리모델링 추진,110.0,6230.0
전남,강진군,건물,마을회관 그린리모델링 사업,253.0,1500.0
전남,보성군,건물,마을회관 그린리모델링 사업,212.0,1680.0
전남,영암군,건물,노후주택 및 빈집 그린리모델링 사업,227.0,3570.0
전남,완도군,건물,마을회관 증축 및 그린리모델링 사업,12.0,1900.0
전남,장성군,건물,노후 주택 및 빈집 그린리모델링,188.0,1920.0
전남,함평군,건물,기존 건축물 그린리모델링 사업 확대(민간),48.0,2049.0
전남,해남군,건물,기존 건축물 그린리모델링 사업 확대(민간),258.0,259.0
전북,고창군,건물,그린리모델링,4243.0,3458.0
전북,군산시,건물,저소득층 그린 리모델링 사업,1.2000000000000002,1725.0
전북,무주군,건물,저소득층 그린리모델링,1843.0,1092.0
전북,순창군,건물,순창문화원 그린리모델링 사업,12.0,3000.0
전북,순창군,건물,주거취약계층 그린리모델링,24.0,1456.0
전북,익산시,건물,그린리모델링(저소득층 지원),1963.0,1500.0
전북,임실군,건물,민간부문 그린리모델링,2985.0,720.0
전북,장수군,건물,저소득층 그린리모델링 지원사업,68.0,696.0
전북,정읍시,건물,저소득층 그린리모델링,115.0,756.0
전북,진안군,건물,저소득층 그린 리모델링,127.0,666.0
