광역,지역명,사업명,온실가스감축량_합계_톤,예산_합계_백만원
경기,광명시,공공자전거 ,4.0,770.0
경기,부천시,공공자전거 대여소 및 자전거 재생센터 운영,21.0,100.0
경기,수원시,공공자전거 이용,90.0,0.0
경기,오산시,공공 자전거 대여,35.0,120.0
경남,양산시,공공자전거 이용 활성화,18.0,0.0
경남,진주시,공공자전거 보급,0.0,180.0
경북,예천군,공공자전거 이용,175.0,4100.0
광주,동구,공공자전거 보급 및 운영,9.0,2.0
광주,서구,2-1. 공공자전거 무료 대여소 운영,12.0,100.0
대전,유성구,공공자전거 이용 활성화,2236.0,0.0
부산,기장군,공공자전거 이용,59.0,200.0
부산,수영구,공공자전거 보급,18.0,41.0
서울,강북구,공공자전거 이용[이용횟수],3178.0,0.0
서울,노원구,공공자전거 확대,8761.0,25650.0
서울,동대문구,공공자전거(따릉이) 이용 활성화,5245.0,0.0
서울,동작구,"자전거도로 및 자전거이용시설 점검·정비로
 
 이용 활성화 (공공자전거 대여)",8366.0,25102.0
서울,마포구,대중교통활성화 및 교통수요관리 (공공자전거 이용 활성화),4543.0,0.0
서울,성동구,공공 자전거 대여 활성화,3614.0,7540.0
서울,송파구,공공자전거 '따릉이' 운영,9086.0,0.0
서울,은평구,공공자전거(따릉이) 이용 활성화,190.0,14460.0
서울,종로구,공공자전거 이용[이용횟수],5000.0,0.0
서울,중구,공공자전거 이용,5100.0,7497.0
서울,중랑구,공공자전거 이용자 확대,5873.0,15030.0
울산,북구,공공자전거 이용[보급대수],0.0,0.0
인천,중구,공공자전거 이용 활성화,45.0,0.0
전남,담양군,공공자전거 이용,0.0,170.0
전남,순천시,온누리 공영자전거 및 공공자전거 보급 확대,141.0,840.0
전남,해남군,공공자전거 이용 활성화,148.0,9.0
전북,남원시,공공자전거 이용,0.0,201.0
전북,임실군,공공자전거 이용 활성화,2.6,80.0
충남,보령시,공공자전거 이용 확대,45.0,703.0
충남,홍성군,공공자전거 이용,105.0,4062.0
